title,year,runtime,genre,imdb_rating,votes,certificate,metascore,gross
Парк юрского периода,1993,127,"['Action', 'Adventure', 'Sci-Fi']",8.2,1015848,6+,68,402453882
Шестое чувство,1999,107,"['Drama', 'Mystery', 'Thriller']",8.2,1012316,12+,64,293506292
Исчезнувшая,2014,149,"['Drama', 'Mystery', 'Thriller']",8.1,1010285,18+,79,167767189
Умница Уилл Хантинг,1997,126,"['Drama', 'Romance']",8.3,1005802,16+,70,138433435
Старикам тут не место,2007,122,"['Crime', 'Drama', 'Thriller']",8.2,1003381,16+,92,74283625
Индиана Джонс: В поисках утраченного ковчега,1981,115,"['Action', 'Adventure']",8.4,989246,0+,85,248159971
Игры разума,2001,135,"['Biography', 'Drama']",8.2,951592,12+,72,170742341
Голодные игры,2012,142,"['Action', 'Adventure', 'Sci-Fi']",7.2,949738,14+,68,408010692
Звёздные войны: Пробуждение Силы,2015,138,"['Action', 'Adventure', 'Sci-Fi']",7.8,948355,12+,80,936662225
Корпорация монстров,2001,92,"['Animation', 'Adventure', 'Comedy']",8.1,933922,6+,79,289916256
Одержимость,2014,106,"['Drama', 'Music']",8.5,907431,16+,89,13092000
Чужой,1979,117,"['Horror', 'Sci-Fi']",8.5,904924,18+,89,78900000
Крепкий орешек,1988,132,"['Action', 'Thriller']",8.2,902442,16+,72,83008852
Гарри Поттер и Дары смерти: Часть II,2011,130,"['Adventure', 'Family', 'Fantasy']",8.1,902304,12+,85,381011219
Мстители: Эра Альтрона,2015,141,"['Action', 'Adventure', 'Sci-Fi']",7.3,887109,12+,66,459005868
Терминатор,1984,107,"['Action', 'Sci-Fi']",8.1,886960,16+,84,38400000
1+1,2011,112,"['Biography', 'Comedy', 'Drama']",8.5,883145,14+,57,13182281
Марсианин,2015,144,"['Adventure', 'Drama', 'Sci-Fi']",8.0,880669,16+,80,228433663
Большой куш,2000,104,"['Comedy', 'Crime']",8.2,875304,16+,55,30328156
Железный человек 3,2013,130,"['Action', 'Adventure', 'Sci-Fi']",7.1,870620,12+,62,409013994
Тор,2011,115,"['Action', 'Fantasy']",7.0,870413,12+,57,181030624
Первый мститель: Другая война,2014,136,"['Action', 'Adventure', 'Sci-Fi']",7.8,868145,12+,70,259766572
Лицо со шрамом,1983,170,"['Crime', 'Drama']",8.3,867786,18+,65,45598982
Таксист,1976,114,"['Crime', 'Drama']",8.2,866085,18+,94,28262574
Первый мститель,2011,124,"['Action', 'Adventure', 'Sci-Fi']",6.9,866034,12+,66,176654505
Реквием по мечте,2000,102,['Drama'],8.3,862887,18+,71,3635482
Миллионер из трущоб,2008,120,"['Crime', 'Drama', 'Romance']",8.0,859287,14+,84,141319928
Паразиты,2019,132,"['Drama', 'Thriller']",8.5,858077,18+,96,53367844
Пианист,2002,150,"['Biography', 'Drama', 'Music']",8.5,857926,16+,85,32572577
История игрушек 3,2010,103,"['Animation', 'Adventure', 'Comedy']",8.3,856667,0+,92,415004880
A Clockwork Orange,1971,136,"['Crime', 'Sci-Fi']",8.3,849068,18+,77,6207725
Хоббит: Нежданное путешествие,2012,169,"['Adventure', 'Fantasy']",7.8,844867,12+,58,303003568
Гравитация,2013,91,"['Drama', 'Sci-Fi', 'Thriller']",7.7,841416,12+,96,274092705
Отель «Гранд Будапешт»,2014,99,"['Adventure', 'Comedy', 'Crime']",8.1,840502,16+,88,59100318
Человек-паук,2002,121,"['Action', 'Adventure', 'Sci-Fi']",7.4,840451,12+,73,403706375
Железный человек 2,2010,124,"['Action', 'Sci-Fi']",6.9,838265,12+,57,312433331
300 спартанцев,2006,117,"['Action', 'Drama']",7.6,837494,16+,52,210614939
Выживший,2015,156,"['Action', 'Adventure', 'Drama']",8.0,829130,18+,76,183637894
Большой Лебовски,1998,117,"['Comedy', 'Crime']",8.1,828278,18+,71,17498804
Звёздные войны. Эпизод 1: Скрытая угроза,1999,136,"['Action', 'Adventure', 'Fantasy']",6.5,826003,0+,51,474544677
Донни Дарко,2001,113,"['Drama', 'Mystery', 'Sci-Fi']",8.0,820538,18+,88,1480006
12 рaзгневанных мужчин,1957,96,"['Crime', 'Drama']",9.0,814766,16+,97,4360000
Первый мститель: Противостояние,2016,147,"['Action', 'Sci-Fi']",7.8,813420,12+,75,408084349
Звёздные войны. Эпизод 3: Месть Ситхов,2005,140,"['Action', 'Adventure', 'Fantasy']",7.6,813163,12+,68,380262555
Гарри Поттер и философский камень,2001,152,"['Adventure', 'Family', 'Fantasy']",7.6,811124,12+,65,317575550
Мальчишник в Вегасе,2009,100,['Comedy'],7.7,809257,16+,73,277322503
Чёрная Пантера,2018,134,"['Action', 'Adventure', 'Sci-Fi']",7.3,803440,16+,88,700059566
Человек-паук: Нет пути домой,2021,148,"['Action', 'Adventure', 'Fantasy']",8.2,801499,12+,71,804747988
Унесённые призраками,2001,125,"['Animation', 'Adventure', 'Family']",8.6,791956,12+,96,10055859
