title,year,runtime,genre,imdb_rating,votes,certificate,metascore,gross
Типа крутые легавые,2007,121,"['Action', 'Comedy', 'Mystery']",7.8,517894,16+,81,23637265
Зверополис,2016,108,"['Animation', 'Adventure', 'Comedy']",8.0,517519,6+,78,341268248
Люди Икс: Начало. Росомаха,2009,107,"['Action', 'Sci-Fi']",6.5,516071,12+,40,179883157
Мальчишник 2: Из Вегаса в Бангкок,2011,102,['Comedy'],6.5,514899,18+,44,254464305
Новый Человек-паук: Высокое напряжение,2014,142,"['Action', 'Adventure', 'Sci-Fi']",6.6,513930,12+,53,202853933
Тихоокеанский рубеж,2013,131,"['Action', 'Adventure', 'Sci-Fi']",6.9,513878,PG-13,65,101802906
Ярость,2014,134,"['Action', 'Drama', 'War']",7.5,513508,R,64,85817906
Мистер и миссис Смит,2005,120,"['Action', 'Comedy', 'Crime']",6.5,512898,14+,55,186336279
Люси,2014,89,"['Action', 'Sci-Fi', 'Thriller']",6.4,512785,18+,61,126663600
Дитя человеческое,2006,109,"['Action', 'Drama', 'Sci-Fi']",7.9,512218,16+,84,35552383
Общество мёртвых поэтов,1989,128,"['Comedy', 'Drama']",8.1,511120,6+,79,95860116
Веном,2018,112,"['Action', 'Adventure', 'Sci-Fi']",6.6,507033,16+,35,213515506
Невероятный Халк,2008,112,"['Action', 'Adventure', 'Sci-Fi']",6.6,506074,12+,61,134518390
Индиана Джонс и Храм судьбы,1984,118,"['Action', 'Adventure']",7.5,505348,0+,57,179870271
Снайпер,2014,133,"['Action', 'Biography', 'Drama']",7.3,504215,18+,72,350126372
Реальная любовь,2003,135,"['Comedy', 'Drama', 'Romance']",7.6,503696,16+,55,59696144
Эдвард руки-ножницы,1990,105,"['Drama', 'Fantasy', 'Romance']",7.9,503580,12+,74,56362352
Окно во двор,1954,112,"['Mystery', 'Thriller']",8.5,502592,12+,100,36764313
Эффект бабочки,2004,113,"['Drama', 'Sci-Fi', 'Thriller']",7.6,502507,16+,30,57938693
Миссия невыполнима: Протокол Фантом,2011,132,"['Action', 'Adventure', 'Thriller']",7.4,502262,14+,73,209397903
Далласский клуб покупателей,2013,117,"['Biography', 'Drama']",7.9,501165,18+,77,27298285
"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",1964,95,"['Comedy', 'War']",8.4,501026,PG,97,275902
Чарли и шоколадная фабрика,2005,115,"['Adventure', 'Comedy', 'Family']",6.7,497668,12+,72,206459076
Ледниковый период,2002,81,"['Animation', 'Adventure', 'Comedy']",7.5,497309,0+,61,176387405
Маленькая Мисс Счастье,2006,101,"['Comedy', 'Drama']",7.8,496225,16+,80,59891098
Хэнкок,2008,92,"['Action', 'Comedy', 'Drama']",6.4,495722,12+,49,227946274
Аквамен,2018,143,"['Action', 'Adventure', 'Fantasy']",6.8,492416,12+,55,335061807
Гонка,2013,123,"['Action', 'Biography', 'Drama']",8.1,491895,R,74,26947624
Кунг-фу Панда,2008,92,"['Animation', 'Action', 'Adventure']",7.6,489884,0+,74,215434591
Стартрек: Возмездие,2013,132,"['Action', 'Adventure', 'Sci-Fi']",7.7,489642,12+,72,228778661
Афера по-американски,2013,138,"['Crime', 'Drama']",7.2,489229,16+,90,150117807
Фантастические твари и где они обитают,2016,132,"['Adventure', 'Family', 'Fantasy']",7.2,489068,12+,66,234037575
Пятый элемент,1997,126,"['Action', 'Adventure', 'Sci-Fi']",7.6,486817,16+,52,63540020
Бегущий в лабиринте,2014,113,"['Action', 'Mystery', 'Sci-Fi']",6.8,484551,12+,57,102427862
В центре внимания,2015,129,"['Biography', 'Crime', 'Drama']",8.1,482958,18+,93,45055776
Воин,2011,140,"['Action', 'Drama', 'Sport']",8.1,482341,12+,71,13657115
Шрэк 2,2004,93,"['Animation', 'Adventure', 'Comedy']",7.3,482156,6+,75,436471036
Джон Уик 2,2017,122,"['Action', 'Crime', 'Thriller']",7.4,479504,18+,75,92029184
Росомаха: Бессмертный,2013,126,"['Action', 'Sci-Fi']",6.7,478253,12+,61,132556852
Город героев,2014,102,"['Animation', 'Action', 'Adventure']",7.8,477731,6+,74,222527828
Лучший стрелок,1986,109,"['Action', 'Drama']",6.9,475547,12+,50,179800601
Девушка с татуировкой дракона,2011,158,"['Crime', 'Drama', 'Mystery']",7.8,474960,18+,71,102515793
Капитан Филлипс,2013,134,"['Action', 'Biography', 'Crime']",7.8,474159,16+,82,107100855
Превосходство Борна,2004,108,"['Action', 'Mystery', 'Thriller']",7.7,474047,16+,73,176241941
Прислуга,2011,146,['Drama'],8.1,473172,PG-13,62,169708112
Терминал,2004,128,"['Comedy', 'Drama', 'Romance']",7.4,473067,12+,55,77872883
Эта замечательная жизнь,1946,130,"['Drama', 'Family', 'Fantasy']",8.6,472836,PG,89,0
Голодные игры: Сойка-пересмешница. Часть I,2014,123,"['Action', 'Adventure', 'Sci-Fi']",6.6,472567,12+,64,337135885
Дивергент,2014,139,"['Action', 'Adventure', 'Mystery']",6.6,472217,12+,48,150947895
Сумерки,2008,122,"['Drama', 'Fantasy', 'Romance']",5.3,472036,16+,56,192769854
Рапунцель: Запутанная история,2010,100,"['Animation', 'Adventure', 'Comedy']",7.7,470311,6+,71,200821936
Звёздные войны: Скайуокер. Восход,2019,141,"['Action', 'Adventure', 'Fantasy']",6.5,468636,PG-13,53,515202542
Таинственная река,2003,138,"['Crime', 'Drama', 'Mystery']",7.9,468236,16+,84,90135191
Трудности перевода,2003,102,"['Comedy', 'Drama']",7.7,467858,16+,91,44585453
Шерлок Холмс: Игра теней,2011,129,"['Action', 'Adventure', 'Mystery']",7.4,466457,12+,48,186848418
Индиана Джонс и Королевство хрустального черепа,2008,122,"['Action', 'Adventure']",6.2,466394,12+,65,317101119
Красавица и чудовище,1991,84,"['Animation', 'Family', 'Fantasy']",8.0,465277,6+,95,218967620
Мы - Миллеры,2013,110,"['Comedy', 'Crime']",7.0,465212,16+,44,150394119
Вселенная Стивена Хокинга,2014,123,"['Biography', 'Drama', 'Romance']",7.7,464322,16+,71,35893537
Лига справедливости,2017,120,"['Action', 'Adventure', 'Fantasy']",6.1,463761,12+,45,229024295
Повелитель бури,2008,131,"['Drama', 'Thriller', 'War']",7.5,461657,16+,95,17017811
Назад в будущее 3,1990,118,"['Adventure', 'Comedy', 'Sci-Fi']",7.4,461476,16,55,87727583
Послезавтра,2004,124,"['Action', 'Adventure', 'Sci-Fi']",6.4,460569,12+,47,186740799
Война миров,2005,116,"['Action', 'Adventure', 'Sci-Fi']",6.5,460153,14+,73,234280354
Несносные боссы,2011,98,"['Comedy', 'Crime']",6.9,458623,16+,57,117538559
Квант милосердия,2008,106,"['Action', 'Adventure', 'Mystery']",6.6,458313,14+,58,168368427
Элизиум: Рай не на Земле,2013,109,"['Action', 'Drama', 'Sci-Fi']",6.6,458050,16+,61,93050117
Первому игроку приготовиться,2018,140,"['Action', 'Adventure', 'Sci-Fi']",7.4,455234,12+,64,137690172
Банды Нью-Йорка,2002,167,"['Crime', 'Drama']",7.5,454745,16+,72,77812000
Всё везде и сразу,2022,139,"['Action', 'Adventure', 'Comedy']",7.8,453472,18+,81,72861480
Последний самурай,2003,154,"['Action', 'Drama']",7.8,452768,16+,55,111110575
Планета обезьян: Революция,2014,130,"['Action', 'Adventure', 'Drama']",7.6,452286,16+,79,208545589
007: Спектр,2015,148,"['Action', 'Adventure', 'Thriller']",6.8,451452,16+,60,200074175
Гражданин Кейн,1941,119,"['Drama', 'Mystery']",8.3,451221,12+,100,1585634
Тренировочный день,2001,122,"['Action', 'Crime', 'Drama']",7.7,451004,16+,69,76631907
Сорокалетний девственник,2005,116,"['Comedy', 'Romance']",7.1,450262,16+,73,109449237
Крупная рыба,2003,125,"['Adventure', 'Drama', 'Fantasy']",8.0,448610,0+,58,66257002
Игра на понижение,2015,130,"['Biography', 'Comedy', 'Drama']",7.8,447832,18+,81,70259870
Убийца,2015,121,"['Action', 'Crime', 'Drama']",7.6,447128,16+,82,46889293
Люди Икс: Апокалипсис,2016,144,"['Action', 'Adventure', 'Sci-Fi']",6.9,446449,12+,52,155442489
Залечь на дно в Брюгге,2008,107,"['Comedy', 'Crime', 'Drama']",7.9,446067,18+,67,7757130
Код да Винчи,2006,149,"['Mystery', 'Thriller']",6.6,444399,18+,46,217536138
Мумия,1999,124,"['Action', 'Adventure', 'Fantasy']",7.1,444360,0+,48,155247825
Столкновение,2004,112,"['Crime', 'Drama', 'Thriller']",7.7,442633,16+,66,54580300
Скотт Пилигрим против всех,2010,112,"['Action', 'Comedy', 'Fantasy']",7.5,442350,16+,69,31494270
"Человек, который изменил всё",2011,133,"['Biography', 'Drama', 'Sport']",7.6,440653,PG-13,87,75605492
Доктор Стрэндж: В мультивселенной безумия,2022,126,"['Action', 'Adventure', 'Fantasy']",6.9,440551,16+,60,411331607
Тачки,2006,117,"['Animation', 'Adventure', 'Comedy']",7.2,440131,0+,73,244082982
Миссия: невыполнима,1996,110,"['Action', 'Adventure', 'Thriller']",7.1,439703,12+,59,180981856
Нечто,1982,109,"['Horror', 'Mystery', 'Sci-Fi']",8.2,439561,18+,57,13782838
Аладдин,1992,90,"['Animation', 'Adventure', 'Comedy']",8.0,438227,,86,217350219
Ральф,2012,101,"['Animation', 'Adventure', 'Comedy']",7.7,437877,6+,72,189422889
Гангстер,2007,157,"['Biography', 'Crime', 'Drama']",7.8,437320,18+,76,130164645
Армагеддон,1998,151,"['Action', 'Adventure', 'Sci-Fi']",6.7,436847,12+,42,201573391
Принцесса-невеста,1987,98,"['Adventure', 'Comedy', 'Family']",8.0,436577,0+,77,30857814
Дьявол носит Prada,2006,109,"['Comedy', 'Drama']",6.9,436122,14+,62,124740460
Пила: Игра на выживание,2004,103,"['Horror', 'Mystery', 'Thriller']",7.6,435981,18+,46,56000369
Полночь в Париже,2011,94,"['Comedy', 'Fantasy', 'Romance']",7.7,435300,14+,81,56816662
Хищник,1987,107,"['Action', 'Adventure', 'Horror']",7.8,435198,16+,47,59735548
Кинг Конг,2005,187,"['Action', 'Adventure', 'Drama']",7.2,433843,16+,81,218080025
Форма воды,2017,123,"['Drama', 'Fantasy', 'Romance']",7.3,432711,18+,87,63859435
Комната,2015,118,"['Drama', 'Thriller']",8.1,432415,18+,86,14677674
Хижина в лесу,2011,95,"['Horror', 'Mystery', 'Thriller']",7.0,431616,18+,72,42073277
Солдаты неудачи,2008,107,"['Action', 'Comedy', 'War']",7.1,429885,16+,71,110515313
Затерянный мир: Парк Юрского периода,1997,129,"['Action', 'Adventure', 'Sci-Fi']",6.5,429278,0+,59,229086679
Неуязвимый,2000,106,"['Drama', 'Mystery', 'Sci-Fi']",7.3,428201,16+,62,95011339
Охотники за привидениями,1984,105,"['Action', 'Comedy', 'Fantasy']",7.8,426397,0+,71,238632124
Человек-муравей и Оса,2018,118,"['Action', 'Adventure', 'Comedy']",7.0,426394,12+,70,216648740
Алиса в Стране чудес,2010,108,"['Adventure', 'Family', 'Fantasy']",6.4,426036,12+,53,334191110
28 дней спустя,2002,113,"['Drama', 'Horror', 'Sci-Fi']",7.5,425598,16+,73,45064915
Храбрая сердцем,2012,93,"['Animation', 'Adventure', 'Comedy']",7.1,424371,6+,69,237283207
Время,2011,109,"['Action', 'Sci-Fi', 'Thriller']",6.7,423895,PG-13,53,37520095
Взвод,1986,120,"['Drama', 'War']",8.1,423815,16+,92,138530565
Борат,2006,84,['Comedy'],7.4,423576,(Banned),89,128505958
Годзилла,2014,123,"['Action', 'Adventure', 'Sci-Fi']",6.4,423528,12+,62,200676069
Конец света 2013: Апокалипсис по-голливудски,2013,107,"['Comedy', 'Fantasy']",6.6,422930,18+,67,101470202
Пассажиры,2016,116,"['Drama', 'Romance', 'Sci-Fi']",7.0,422216,16+,41,100014699
Изгоняющий дьявола,1973,122,['Horror'],8.1,422118,18+,81,232906145
Непрощенный,1992,130,"['Drama', 'Western']",8.2,421495,R,85,101157447
E.T. the Extra-Terrestrial,1982,115,"['Adventure', 'Family', 'Sci-Fi']",7.9,421420,0+,91,435110554
Ford против Ferrari,2019,152,"['Action', 'Biography', 'Drama']",8.1,420851,16+,81,117624028
Не время умирать,2021,163,"['Action', 'Adventure', 'Thriller']",7.3,420315,12+,68,160869031
Трансформеры 3: Тёмная сторона Луны,2011,154,"['Action', 'Adventure', 'Sci-Fi']",6.2,419345,12+,42,352390543
Останься со мной,1986,89,"['Adventure', 'Drama']",8.1,418290,,75,52287414
Мадагаскар,2005,86,"['Animation', 'Adventure', 'Comedy']",6.9,418244,0+,57,193595521
Американский пирог,1999,95,['Comedy'],7.0,418222,14+,58,102561004
Соучастник,2004,120,"['Action', 'Crime', 'Drama']",7.5,416598,16+,71,101005703
Брюс всемогущий,2003,101,"['Comedy', 'Fantasy']",6.8,416438,12+,46,242829261
Трансформеры: Месть падших,2009,149,"['Action', 'Adventure', 'Sci-Fi']",5.9,416093,12+,35,402111870
Клуб «Завтрак»,1985,97,"['Comedy', 'Drama']",7.8,415118,16+,66,45875171
Лига справедливости Зака Снайдера,2021,242,"['Action', 'Adventure', 'Fantasy']",8.0,413798,18+,54,0
Ходячий замок,2004,119,"['Animation', 'Adventure', 'Family']",8.2,413169,12+,82,4711096
Крепкий орешек 4.0,2007,128,"['Action', 'Thriller']",7.1,412718,14+,69,134529403
Три идиота,2009,170,"['Comedy', 'Drama']",8.4,411505,16+,67,6532908
Кролик Джоджо,2019,108,"['Comedy', 'Drama', 'War']",7.9,411442,(Banned),58,33370906
Головокружение,1958,128,"['Mystery', 'Romance', 'Thriller']",8.3,411386,16+,100,3200000
Волшебник страны Оз,1939,102,"['Adventure', 'Family', 'Fantasy']",8.1,411066,0+,92,2076020
Гадкий я 2,2013,98,"['Animation', 'Adventure', 'Comedy']",7.3,411020,0+,62,368061265
"Хроники Нарнии: Лев, Колдунья и волшебный шкаф",2005,143,"['Adventure', 'Family', 'Fantasy']",6.9,410829,6+,75,291709845
Амадей,1984,160,"['Biography', 'Drama', 'Music']",8.4,410243,R,88,51973029
Игра,1997,129,"['Drama', 'Mystery', 'Thriller']",7.7,409991,R,63,48323648
Житие Брайана по Монти Пайтон,1979,94,['Comedy'],8.0,409424,12+,77,20045115
Монстро,2008,85,"['Action', 'Adventure', 'Horror']",7.0,409248,16+,64,80048433
Крестный отец: Часть III,1990,162,"['Crime', 'Drama']",7.6,408329,16+,60,66666062
Терминатор 3: Восстание машин,2003,109,"['Action', 'Sci-Fi']",6.3,408174,16+,66,150371112
Чёрный ястреб,2001,144,"['Action', 'Drama', 'History']",7.7,407990,16+,74,108638745
Принцесса Мононоке,1997,134,"['Animation', 'Action', 'Adventure']",8.3,407619,12+,76,2375308
Форсаж 6,2013,130,"['Action', 'Adventure', 'Crime']",7.0,405136,12+,61,238679850
Ирландец,2019,209,"['Biography', 'Crime', 'Drama']",7.8,404822,R,94,7000000
Шан-Чи и легенда десяти колец,2021,132,"['Action', 'Adventure', 'Fantasy']",7.4,404257,16+,71,224543292
Отличница лёгкого поведения,2010,92,"['Comedy', 'Drama', 'Romance']",7.0,402327,14+,72,58401464
Город воров,2010,125,"['Crime', 'Drama', 'Thriller']",7.5,402047,R,74,92186262
Форсаж 7,2015,137,"['Action', 'Crime', 'Thriller']",7.1,401894,16+,67,353007020
Форсаж,2001,106,"['Action', 'Crime', 'Thriller']",6.8,401694,16+,58,144533925
Машинист,2004,101,"['Drama', 'Thriller']",7.7,401565,16+,61,1082715
Двенадцать друзей Оушена,2004,125,"['Crime', 'Thriller']",6.5,401074,16+,58,125544280
Аватар: Путь воды,2022,192,"['Action', 'Adventure', 'Fantasy']",7.7,400693,PG-13,67,659682302
Дрянные девчонки,2004,97,['Comedy'],7.1,399917,12+,66,86058055
Маска,1994,101,"['Action', 'Comedy', 'Crime']",6.9,399886,12+,56,119938730
Звезда родилась,2018,136,"['Drama', 'Music', 'Romance']",7.6,398406,18+,88,215288866
Особо опасен,2008,110,"['Action', 'Crime', 'Thriller']",6.7,398355,16+,64,134508551
Чёрная Вдова,2021,134,"['Action', 'Adventure', 'Sci-Fi']",6.7,398292,16+,68,183651655
Джуманджи: Зов джунглей,2017,119,"['Action', 'Adventure', 'Comedy']",6.9,397873,16+,58,404515480
Жизнь других,2006,137,"['Drama', 'Mystery', 'Thriller']",8.4,397091,16+,89,11286112
Тупой и еще тупее,1994,107,['Comedy'],7.3,396577,16+,41,127175354
Крепкий орешек 3,1995,128,"['Action', 'Adventure', 'Thriller']",7.6,396294,16+,58,100012499
Достать ножи: Стеклянная луковица,2022,139,"['Comedy', 'Crime', 'Drama']",7.1,395306,PG-13,81,0
Форсаж 5,2011,130,"['Action', 'Crime', 'Thriller']",7.3,393652,16+,66,209837675
Джон Уик 3,2019,130,"['Action', 'Crime', 'Thriller']",7.4,393308,18+,73,171015687
Главный герой,2021,115,"['Action', 'Adventure', 'Comedy']",7.1,392267,16+,62,121626598
Мачо и ботан 2,2014,112,"['Action', 'Comedy', 'Crime']",7.0,389752,16+,71,191719337
Бэтмен,1989,126,"['Action', 'Adventure']",7.5,388195,,69,251188924
Без лица,1997,138,"['Action', 'Crime', 'Sci-Fi']",7.3,388049,14+,82,112225777
Виноваты звезды,2014,126,"['Drama', 'Romance']",7.7,387746,12+,69,124872350
Люди в чёрном 2,2002,88,"['Action', 'Adventure', 'Comedy']",6.2,387541,12+,49,190418803
127 часов,2010,94,"['Biography', 'Drama']",7.5,387231,16+,82,18335230
Малефисента,2014,97,"['Adventure', 'Family', 'Fantasy']",6.9,386810,12+,56,241410378
2012,2009,158,"['Action', 'Adventure', 'Sci-Fi']",5.8,386573,14+,49,166112167
Великий уравнитель,2014,132,"['Action', 'Crime', 'Thriller']",7.2,385291,16+,57,101530738
Адвокат дьявола,1997,144,"['Drama', 'Mystery', 'Thriller']",7.5,385279,16+,60,60984028
Миссия невыполнима: Племя изгоев,2015,131,"['Action', 'Adventure', 'Thriller']",7.4,384730,16+,75,195042377
Не пойман - не вор,2006,129,"['Crime', 'Drama', 'Mystery']",7.6,384363,R,76,88513495
Иллюзионист,2006,110,"['Drama', 'Fantasy', 'Mystery']",7.5,380570,12+,68,39868642
Секс по дружбе,2011,109,"['Comedy', 'Romance']",6.5,380383,16+,63,55802754
Ограбление по-итальянски,2003,111,"['Action', 'Crime', 'Thriller']",7.0,377715,12+,68,106128601
Боец,2010,116,"['Action', 'Biography', 'Drama']",7.8,377467,16+,79,93617009
Скорость,1994,116,"['Action', 'Adventure', 'Thriller']",7.3,377215,12+,78,121248145
Другие,2001,101,"['Horror', 'Mystery', 'Thriller']",7.6,377180,16+,74,96522687
Немножко беременна,2007,129,"['Comedy', 'Romance']",6.9,376599,16+,85,148734225
"Суини Тодд, демон-парикмахер с Флит-стрит",2007,116,"['Drama', 'Horror', 'Musical']",7.3,376486,18+,83,52898073
Один дома 2: Затерянный в Нью-Йорке,1992,120,"['Adventure', 'Comedy', 'Crime']",6.8,375556,12+,46,173585516
Отряд самоубийц: Миссия навылет,2021,132,"['Action', 'Adventure', 'Comedy']",7.2,374719,18+,72,55817425
Люди в черном 3,2012,106,"['Action', 'Adventure', 'Comedy']",6.8,373640,12+,58,179020854
Знаки,2002,106,"['Drama', 'Mystery', 'Sci-Fi']",6.8,373434,12+,59,227966634
Сквозь снег,2013,126,"['Action', 'Drama', 'Sci-Fi']",7.1,372543,R,84,4563650
Гнев,2004,146,"['Action', 'Crime', 'Drama']",7.7,372486,16+,47,77911774
Университет монстров,2013,104,"['Animation', 'Adventure', 'Comedy']",7.2,372076,6+,65,268492764
Всегда говори «ДА»,2008,104,"['Comedy', 'Romance']",6.8,371796,12+,46,97690976
Авиатор,2004,170,"['Biography', 'Drama']",7.5,371684,12+,77,102608827
Крепкий орешек 2,1990,124,"['Action', 'Thriller']",7.1,370923,18+,67,117540947
Лего. Фильм,2014,100,"['Animation', 'Action', 'Adventure']",7.7,370520,6+,83,257760692
Выходной день Ферриса Бьюллера,1986,103,['Comedy'],7.8,370257,12+,61,70136369
Сонная Лощина,1999,105,"['Fantasy', 'Horror', 'Mystery']",7.3,370236,12+,65,101071502
Терминатор: Да придёт спаситель,2009,115,"['Action', 'Adventure', 'Sci-Fi']",6.5,369296,12+,49,125322469
Горбатая гора,2005,134,"['Drama', 'Romance']",7.7,368118,16+,87,83043761
Облачный атлас,2012,172,"['Drama', 'Mystery', 'Sci-Fi']",7.4,367712,16+,55,27108272
Малхолланд Драйв,2001,147,"['Drama', 'Mystery', 'Thriller']",7.9,367527,18+,86,7220243
Миссия: невыполнима 3,2006,126,"['Action', 'Adventure', 'Thriller']",6.9,367226,12+,66,134029801
Луна 2112,2009,97,"['Drama', 'Mystery', 'Sci-Fi']",7.8,366988,R,67,5009677
Телеведущий: Легенда о Роне Бургунди,2004,94,['Comedy'],7.1,366976,12+,63,85288303
50 первых поцелуев,2004,99,"['Comedy', 'Drama', 'Romance']",6.8,366924,18+,48,120908074
Тор: Любовь и гром,2022,118,"['Action', 'Adventure', 'Comedy']",6.2,365741,PG-13,57,343256830
Незваные гости,2005,119,"['Comedy', 'Romance']",7.0,365269,16+,64,209218368
Бойфренд из будущего,2013,123,"['Comedy', 'Drama', 'Fantasy']",7.8,365176,R,55,15322921
Шазам!,2019,132,"['Action', 'Adventure', 'Comedy']",7.0,365063,12+,71,140371656
Крик,1996,111,"['Horror', 'Mystery']",7.4,364981,18+,65,103046663
Экипаж,2012,138,"['Drama', 'Thriller']",7.3,364239,18+,76,93772375
Бешеный бык,1980,129,"['Biography', 'Drama', 'Sport']",8.1,363710,16+,90,23383987
Быстрее пули,2022,127,"['Action', 'Comedy', 'Thriller']",7.3,363193,16+,49,103368602
Бункер,2004,156,"['Biography', 'Drama', 'History']",8.2,362811,12+,82,5509040
Отель «Руанда»,2004,121,"['Biography', 'Drama', 'History']",8.1,362247,PG-13,79,23530892
Джентльмены,2019,113,"['Action', 'Comedy', 'Crime']",7.8,361788,18+,51,36471795
Хан Соло: Звездные войны. Истории,2018,135,"['Action', 'Adventure', 'Sci-Fi']",6.9,361601,12+,62,213767512
Ночь в музее,2006,108,"['Adventure', 'Comedy', 'Family']",6.4,361219,6+,48,250863268
Супер 8,2011,112,"['Action', 'Mystery', 'Sci-Fi']",7.0,361184,PG-13,72,127004179
Однажды в Америке,1984,229,"['Crime', 'Drama']",8.3,360928,16+,75,5321508
Звонок,2002,115,"['Horror', 'Mystery']",7.1,360676,16+,57,129128133
Вечные,2021,156,"['Action', 'Adventure', 'Fantasy']",6.3,360465,18+,52,164870234
Отрочество,2014,165,['Drama'],7.9,360345,18+,100,25379975
Птичий короб,2018,124,"['Horror', 'Mystery', 'Sci-Fi']",6.6,359889,R,51,0
Джеки Браун,1997,154,"['Crime', 'Drama', 'Thriller']",7.5,359246,16+,64,39673162
Джуманджи,1995,104,"['Adventure', 'Comedy', 'Family']",7.0,359017,6+,39,100475249
Константин,2005,121,"['Action', 'Fantasy', 'Horror']",7.0,358962,16+,50,75976178
10 причин моей ненависти,1999,97,"['Comedy', 'Drama', 'Romance']",7.3,358898,12+,70,38176108
Королевство полной луны,2012,94,"['Comedy', 'Drama', 'Family']",7.8,357607,12+,84,45512466
Тринадцать друзей Оушена,2007,122,"['Crime', 'Thriller']",6.9,356435,16+,62,117154724
С широко закрытыми глазами,1999,159,"['Drama', 'Mystery', 'Thriller']",7.5,355117,16+,68,55691208
Солнцестояние,2019,148,"['Drama', 'Horror', 'Mystery']",7.1,353759,18+,72,27331977
Неудержимые,2010,103,"['Action', 'Adventure', 'Thriller']",6.4,353635,18+,45,103068524
Мой сосед Тоторо,1988,86,"['Animation', 'Comedy', 'Family']",8.1,353630,0+,86,1105564
Миссия: невыполнима 2,2000,123,"['Action', 'Adventure', 'Thriller']",6.1,353531,12+,59,215409889
Семь самураев,1954,207,"['Action', 'Drama']",8.6,353331,,98,269061
Моана,2016,107,"['Animation', 'Adventure', 'Comedy']",7.6,352725,6+,81,248757044
Кошмар перед Рождеством,1993,76,"['Animation', 'Family', 'Fantasy']",7.9,352110,12+,82,75082668
Впритык,2010,95,"['Comedy', 'Drama']",6.5,350570,16+,51,100539043
Джек Ричер,2012,130,"['Action', 'Mystery', 'Thriller']",7.0,350471,16+,50,80070736
Как приручить дракона 2,2014,102,"['Animation', 'Action', 'Adventure']",7.8,348302,0+,77,177002924
"Ананасовый экспресс: Сижу, курю",2008,111,"['Action', 'Comedy', 'Crime']",6.9,348145,18+,64,87341380
Железная хватка,2010,110,"['Drama', 'Western']",7.6,347529,14+,80,171243005
Скала,1996,136,"['Action', 'Adventure', 'Thriller']",7.4,347397,16+,58,134069511
Охотник на оленей,1978,183,"['Drama', 'War']",8.1,347138,16+,86,48979328
Душа,2020,100,"['Animation', 'Adventure', 'Comedy']",8.0,346632,6+,83,0
Трон: Наследие,2010,125,"['Action', 'Adventure', 'Sci-Fi']",6.8,345847,12+,49,172062763
Миссия невыполнима: Последствия,2018,147,"['Action', 'Adventure', 'Thriller']",7.7,345760,16+,86,220159104
Невидимая сторона,2009,129,"['Biography', 'Drama', 'Sport']",7.6,345145,PG-13,53,255959475
Быть Джоном Малковичем,1999,113,"['Comedy', 'Drama', 'Fantasy']",7.7,344304,14+,90,22858926
Kingsman: Золотое кольцо,2017,141,"['Action', 'Adventure', 'Comedy']",6.7,344064,18+,44,100234838
Голодные игры: Сойка-пересмешница. Часть II,2015,137,"['Action', 'Adventure', 'Sci-Fi']",6.5,343928,16+,65,281723902
Знакомство с родителями,2000,108,"['Comedy', 'Romance']",7.0,343816,0+,73,166244045
Славные парни,2016,116,"['Action', 'Comedy', 'Crime']",7.3,343531,16+,70,36261763
Сокровище нации,2004,131,"['Action', 'Adventure', 'Mystery']",6.9,343383,12+,40,173008894
Стрелок,2007,124,"['Action', 'Drama', 'Thriller']",7.1,343214,16+,53,47003582
Реинкарнация,2018,127,"['Drama', 'Horror', 'Mystery']",7.3,343036,18+,87,44069456
Клик: с пультом по жизни,2006,107,"['Comedy', 'Drama', 'Fantasy']",6.4,342564,12+,45,137355633
Мне бы в небо,2009,109,"['Comedy', 'Drama', 'Romance']",7.4,342373,R,83,83823381
Охота,2012,115,['Drama'],8.3,342242,16+,77,687185
Интервью,2014,112,"['Action', 'Adventure', 'Comedy']",6.5,341840,18+,52,6105175
После прочтения сжечь,2008,96,"['Comedy', 'Crime', 'Drama']",7.0,341564,16+,63,60355347
Перл Харбор,2001,183,"['Action', 'Drama', 'History']",6.2,341499,12+,44,198542554
Вспомнить всё,1990,113,"['Action', 'Adventure', 'Sci-Fi']",7.5,341331,18+,60,119394840
Живая сталь,2011,127,"['Action', 'Drama', 'Sci-Fi']",7.1,341188,12+,56,85468508
"Кловерфилд, 10",2016,103,"['Drama', 'Horror', 'Mystery']",7.2,340402,16+,76,72082998
Аннигиляция,2018,115,"['Adventure', 'Drama', 'Horror']",6.8,340112,R,79,32732301
Предложение,2009,108,"['Comedy', 'Drama', 'Romance']",6.7,339630,14+,48,163958031
Симпсоны в кино,2007,87,"['Animation', 'Adventure', 'Comedy']",7.3,339195,12+,80,183135014
Хеллбой: Герой из пекла,2004,122,"['Action', 'Adventure', 'Fantasy']",6.8,338855,16+,72,59623958
Эквилибриум,2002,107,"['Action', 'Drama', 'Sci-Fi']",7.3,338727,16+,33,1203974
Красотка,1990,119,"['Comedy', 'Romance']",7.1,338134,16+,51,178406268
Однажды на Диком Западе,1968,165,['Western'],8.5,337596,PG-13,82,5321508
Отверженные,2012,158,"['Drama', 'Musical', 'Romance']",7.5,336882,12+,63,148809770
Фантастическая четвёрка,2005,106,"['Action', 'Adventure', 'Fantasy']",5.7,336292,12+,40,154696080
Жизнь прекрасна,2011,100,"['Comedy', 'Drama', 'Romance']",7.6,336279,R,72,35014192
Мумия возвращается,2001,130,"['Action', 'Adventure', 'Fantasy']",6.4,335414,12+,48,202019785
